Time,X [N],Y [N],Z [N]
0,-0.0,0.0,0.0
1,-1.92975590521268,0.0,0.0
2,-3.8597217467411684,0.0,0.0
3,-5.790107682713055,0.0,0.0
4,-7.721124315062544,0.0,0.0
5,-9.652982911676734,0.0,0.0
6,-11.585895628989066,0.0,0.0
7,-13.520075735046593,0.0,0.0
8,-15.455737833168884,0.0,0.0
9,-17.393098086388402,0.0,0.0
10,-19.332374442730757,0.0,0.0
11,-21.273786861510608,0.0,0.0
12,-23.21755754073961,0.0,0.0
13,-25.16391114579145,0.0,0.0
14,-27.11307503943486,0.0,0.0
15,-29.065279513416225,0.0,0.0
16,-31.020758021651524,0.0,0.0
17,-32.979747415210326,0.0,0.0
18,-34.942488179233514,0.0,0.0
19,-36.909224671886335,0.0,0.0
20,-38.88020536551885,0.0,0.0
21,-40.855683090161776,0.0,0.0
22,-42.835915279512015,0.0,0.0
23,-44.82116421953366,0.0,0.0
24,-46.81169729986196,0.0,0.0
25,-48.80778726811508,0.0,0.0
26,-50.809712487310286,0.0,0.0
27,-52.81775719652752,0.0,0.0
28,-54.832211774959646,0.0,0.0
29,-56.853373009556044,0.0,0.0
30,-58.88154436639175,0.0,0.0
31,-60.91703626594009,0.0,0.0
32,-62.96016636244167,0.0,0.0
33,-65.01125982751358,0.0,0.0
34,-67.07064963821279,0.0,0.0
35,-69.13867686972206,0.0,0.0
36,-71.21569099282861,0.0,0.0
37,-73.30205017642862,0.0,0.0
38,-75.39812159521694,0.0,0.0
39,-77.50428174277276,0.0,0.0
40,-79.6209167502438,0.0,0.0
41,-81.74842271083178,0.0,0.0
42,-83.88720601029512,0.0,0.0
43,-86.03768366366214,0.0,0.0
44,-88.20028365839764,0.0,0.0
45,-90.3754453042088,0.0,0.0
46,-92.56361958973741,0.0,0.0
47,-94.76526954634073,0.0,0.0
48,-96.98087061919998,0.0,0.0
49,-99.2109110459668,0.0,0.0
50,-101.45589224317965,0.0,0.0
51,-103.71632920068626,0.0,0.0
52,-105.99275088427355,0.0,0.0
53,-108.28570064674504,0.0,0.0
54,-110.59573664766287,0.0,0.0
55,-112.92343228197335,0.0,0.0
56,-115.26937661771109,0.0,0.0
57,-117.63417484301475,0.0,0.0
58,-120.0184487226235,0.0,0.0
59,-122.42283706406084,0.0,0.0
60,-124.8479961936754,0.0,0.0
61,-127.29460044268237,0.0,0.0
62,-129.76334264338556,0.0,0.0
63,-132.25493463566633,0.0,0.0
64,-134.77010778386173,0.0,0.0
65,-137.30961350409927,0.0,0.0
66,-139.8742238021353,0.0,0.0
67,-142.46473182169532,0.0,0.0
68,-145.08195240329763,0.0,0.0
69,-147.72672265347035,0.0,0.0
70,-150.39990252423252,0.0,0.0
71,-153.10237540266223,0.0,0.0
72,-155.83504871027733,0.0,0.0
73,-158.59885451190996,0.0,0.0
74,-161.39475013365464,0.0,0.0
75,-164.22371878938208,0.0,0.0
76,-167.086770215197,0.0,0.0
77,-169.9849413111074,0.0,0.0
78,-172.91929678903583,0.0,0.0
79,-175.89092982615057,0.0,0.0
80,-178.90096272233345,0.0,0.0
81,-181.950547560418,0.0,0.0
82,-185.04086686760886,0.0,0.0
83,-188.1731342763,0.0,0.0
84,-191.34859518219488,0.0,0.0
85,-194.56852739741598,0.0,0.0
86,-197.83424179592484,0.0,0.0
87,-201.14708294823131,0.0,0.0
88,-204.50842974202334,0.0,0.0
89,-207.9196959848522,0.0,0.0
90,-211.38233098457385,0.0,0.0
91,-214.8978201027305,0.0,0.0
92,-218.46768527541823,0.0,0.0
93,-222.09348549557578,0.0,0.0
94,-225.77681724992777,0.0,0.0
95,-229.51931490296388,0.0,0.0
96,-233.32265101952922,0.0,0.0
97,-237.188536616555,0.0,0.0
98,-241.11872133346537,0.0,0.0
99,-245.1149935095469,0.0,0.0
100,-249.17918015529935,0.0,0.0
101,-253.31314680331678,0.0,0.0
102,-257.51879722267483,0.0,0.0
103,-261.79807297903136,0.0,0.0
104,-266.1529528207044,0.0,0.0
105,-270.58545186886505,0.0,0.0
106,-275.0976205876,0.0,0.0
107,-279.6915435070451,0.0,0.0
108,-284.3693376698807,0.0,0.0
109,-289.13315076835556,0.0,0.0
110,-293.98515893554463,0.0,0.0
111,-298.92756415071415,0.0,0.0
112,-303.9625912144811,0.0,0.0
113,-309.09248424485696,0.0,0.0
114,-314.3195026401984,0.0,0.0
115,-319.64591644952196,0.0,0.0
116,-325.07400108458904,0.0,0.0
117,-330.6060313014502,0.0,0.0
118,-336.2442743718812,0.0,0.0
119,-341.99098235712387,0.0,0.0
120,-347.84838338763404,0.0,0.0
121,-353.8186718430329,0.0,0.0
122,-359.9039973160803,0.0,0.0
123,-366.1064522331886,0.0,0.0
124,-372.4280579917983,0.0,0.0
125,-378.8707494616223,0.0,0.0
126,-385.4363576823844,0.0,0.0
127,-392.12659057527463,0.0,0.0
128,-398.94301146859897,0.0,0.0
129,-405.8870152202311,0.0,0.0
130,-412.9598017004598,0.0,0.0
