step,Fx,Fy
1.0,0.0,-509.31500099997726
2.0,3.8782829955145157,-509.30023479732813
3.0,7.752660888795082,-509.25599308476495
4.0,11.619232509723387,-509.18244635836754
5.0,15.474104548440277,-509.07987814490446
6.0,19.31339547555847,-508.94868405253936
7.0,23.13323945056021,-508.78937044333964
8.0,26.929790214355286,-508.6025527291597
9.0,30.69922496214457,-508.38895329297867
10.0,34.43774819266115,-508.1493990383396
11.0,38.14159552990864,-507.8848185701554
12.0,41.807037513581044,-507.5962390108351
13.0,45.430383354310344,-507.2847824564494
14.0,49.007984649969515,-506.9516620785015
15.0,52.53623905931461,-506.59817787780224
16.0,56.01159392923492,-506.22571209798633
17.0,59.43054987196714,-505.8357243073313
18.0,62.7896642886901,-505.4297461587717
19.0,66.08555483592659,-505.00937583933484
20.0,69.31490283127519,-504.57627222165104
21.0,72.47445659504642,-504.13214873171853
22.0,75.5610347244214,-503.67876694871865
23.0,78.57152929686559,-503.21792995436743
24.0,81.50290899952995,-502.75147545106336
25.0,84.35222218153817,-502.28126866989896
26.0,87.11659982604044,-501.80919509147736
27.0,89.79325843907698,-501.33715300434295
28.0,92.3795028523132,-500.8670459277255
29.0,94.87272893685231,-500.40077492713914
30.0,97.2704262253695,-499.9402308531909
31.0,99.57018043993764,-499.4872865356686
32.0,101.76967592300618,-499.04378896659273
33.0,103.86669796906651,-498.6115515073929
34.0,105.85913505467447,-498.1923461566657
35.0,107.74498096457687,-497.78789591607165
36.0,109.52233681179925,-497.39986729279457
37.0,111.18941294966332,-497.0298629775842
38.0,112.74453077380993,-496.6794147377162
39.0,114.18612441241177,-496.34997656419813
40.0,115.5127423028735,-496.0429181122101
41.0,116.72304865343229,-495.7595184730751
42.0,117.81582478818666,-495.5009603149989
43.0,118.78997037419863,-495.2683244283889
44.0,119.64450452943852,-495.06258470976377
45.0,120.37856681044717,-494.88460361610515
46.0,120.99141807873286,-494.7351281189806
47.0,121.48244124501565,-494.61478618492407
48.0,121.85114189059101,-494.52408380539555
49.0,122.0971487651613,-494.4634025962133
50.0,122.22021416065711,-494.43299798266895
51.0,122.22021416065711,-494.43299798266895
52.0,122.09714876516084,-494.4634025962134
53.0,121.85114189059101,-494.52408380539555
54.0,121.48244124501565,-494.61478618492407
55.0,120.9914180787324,-494.7351281189807
56.0,120.37856681044764,-494.88460361610504
57.0,119.64450452943805,-495.0625847097639
58.0,118.78997037419839,-495.26832442838895
59.0,117.81582478818618,-495.500960314999
60.0,116.72304865343229,-495.7595184730751
61.0,115.51274230287373,-496.04291811221003
62.0,114.18612441241203,-496.3499765641981
63.0,112.74453077380967,-496.67941473771623
64.0,111.18941294966332,-497.0298629775842
65.0,109.5223368117995,-497.3998672927945
66.0,107.74498096457714,-497.7878959160716
67.0,105.85913505467447,-498.1923461566657
68.0,103.86669796906624,-498.61155150739296
69.0,101.76967592300589,-499.0437889665928
70.0,99.57018043993793,-499.48728653566855
71.0,97.27042622536894,-499.940230853191
72.0,94.87272893685261,-500.4007749271391
73.0,92.37950285231288,-500.86704592772554
74.0,89.79325843907668,-501.337153004343
75.0,87.11659982604078,-501.8091950914773
76.0,84.35222218153817,-502.28126866989896
